example_id                                                      | status | run_time        |
./spec/policies/report_policy_spec.rb[1:2:1]                    | passed | 0.05495 seconds |
./spec/policies/report_policy_spec.rb[1:2:2]                    | passed | 0.06118 seconds |
./spec/policies/report_policy_spec.rb[1:2:3]                    | passed | 0.05806 seconds |
./spec/policies/report_policy_spec.rb[1:3:1]                    | passed | 0.11733 seconds |
./spec/policies/report_policy_spec.rb[1:4:1]                    | passed | 0.05779 seconds |
./spec/policies/report_policy_spec.rb[1:4:2]                    | passed | 0.05488 seconds |
./spec/policies/report_policy_spec.rb[1:4:3]                    | passed | 0.05464 seconds |
./spec/policies/report_policy_spec.rb[1:5:1]                    | passed | 0.06024 seconds |
./spec/policies/report_policy_spec.rb[1:5:2]                    | passed | 0.055 seconds   |
./spec/policies/report_policy_spec.rb[1:5:3]                    | passed | 0.05763 seconds |
